AWS ,,,,,,,,,
ALX FOUNDATIONS in SPECIALIZATIONS (FiS): SKILLS TRACKER,,,,,,,,,
"INSTRUCTIONS FOR THIS SKILLS TRACKER: 
1. At the beginning of FiS, rate your skills by completing the BEFORE FiS Pt 1 sections ONLY [columns B and G).
2. Do not complete the Growth Mapping 2, 3 and 4 columns. You will complete these only when instructed at designated points throughout your FiS journey. 
Clear instructions on when the next 'growth tracking' will take place and will be shared with you as part of the learning material in Canvas.
3. Rate yourself compared to an average entry-level employee in your specialization.
4. At this stage, you are not expected to have a high ratings, especially for tech skills, and you will never be penalised for any low rating. 
5. This exercise is for YOU, to help you track your progress. So be honest as you identify your strengths and areas in need of further development. ",,,,,,,,,
,,,,,Scale ,,,,
"For the ""Before FiS Pt 1"" Column (B&G):",,,,,,,,,
I am outstanding.,5,Enter 5 if you are exceptional in the area.,,,,,,,
I have a good level of skills.,4,Enter 4 if you possess good/solid skills.,,,,,,,
My skills are average.,3,"Enter 3 if you know some stuff, but not everything and just do okay.",,,,,,,
I know some things.,2,Enter 2 if have little experience and know there is still room for substantial growth.,,,,,,,
I have very minimal or no skills.,1,Enter 1 if you have minimal or no skills in the area.,,,,,,,
"For the ""Growth Tracking"" Columns:",,,,,,,,,
Exceptional growth ,5,Enter 5 if you have shown exceptional growth and reached a satisfactory level of competence in this area.,,,,,,,
Significant growth ,4,Enter 4 if you have made substantial progress and are confident in your abilities.,,,,,,,
Moderate (average) growth,3,Enter 3 if you have made noticeable strides and have a decent level of proficiency.,,,,,,,
Some growth,2,"Enter 2 if you've experienced minor improvements, but there's still room for substantial progress.",,,,,,,
Very little or no growth ,1,Enter 1 if you feel that your growth in this area has been minimal or negligible.,,,,,,,
,,,,,,,,,
,"Before FiS
Pt 1","Growth 
Tracking 2","Growth 
Tracking 3","Growth 
Tracking 4",,"Before FiS
Pt 1","Growth 
Tracking 2","Growth 
Tracking 3","Growth 
Tracking 4"
LEADING SELF,Rating,,,,MANAGING COMPLEX TASKS,Rating,,,
Core Values ,5,5,,,Project Scoping,4,,,
Self-awareness [Personal Mission Statement],3,3.5,,,Project Structuring,5,,,
Self-regulation [Emotional Intelligence],5,4,,,Project Planning,4,,,
Self-improvement [Growth Mindset],4,5,,,Project Coordination,3,,,
Self-improvement [Healthy Habits Formation] ,4,4,,,Project Execution,4,,,
LEADING SELF,Rating,,,,COMMUNICATION FOR IMPACT,Rating,,,
Grit & Resilience,5,,,,Audience Awareness,,,,
Proactivity ,4.5,,,,Writing Process,5,,,
Time Management,4.5,,,,Appropriate & consistent Voice,5,,,
Prioritization Techniques,4.5,,,,Organising for Effective Communication,4.5,,,
,,,,,Storytelling and Presentation,4,,,
LEADING OTHERS,Rating,,,,ENTREPRENEURIAL THINKING,Rating,,,
Empathy,5,,,,Identifying Opportunities,4,,,
Diversity,5,,,,Human-centred Design Thinking,4,,,
Relationship Building,3,,,,Creative Thinking and Innovation,3.5,,,
Feedback,5,,,,Wireframes and 3D Prototyping ,3.5,,,
Collaboration,5,,,,Design Iterative Process,3.5,,,
QUANTITATIVE REASONING,Rating,,,,CRITICAL THINKING,Rating,,,
Data Contextualisation,5,,,,Authentic Inquiry,5,,,
Uncertainty and Modelling of the Real World,5,,,,Evidence/Research Analysis,5,,,
Empirical Research,5,,,,Arguments and Judgement,4,,,
Data-based Decision Making,5,,,,Synthesis,4,,,
Quantitative Problem Solving,5,,,,Test Taking Skills,5,,,
TECH ECOSYSTEM,Rating,,,,AWS: INFRASTRUCTURE & DEPLOYMENT,Rating,,,
Technical/Product Team Roles & Functions,3,,,,Cloud Service Model,3.5,,,
Google Workspace Tools,5,,,,Cloud Provider Service,5,,,
"AI Tools, Concepts & Techniques",5,,,,Containerization,3.5,,,
Ethics in Tech,5,,,,Application and Infrastructure Deployment,3,,,
AWS: INFRASTRUCTURE & DEPLOYMENT,Rating,,,,AWS: INFRASTRUCTURE & DEPLOYMENT,Rating,,,
Operating Systems,3,,,,Automation Tools,3.5,,,
Source Code Management,3,,,,Infrastructure as Code,5,,,
Programming Languages,5,,,,Systems Design,3,,,
Configuration Language/Scripting,3,,,,Recovery and Backup,3,,,
Configuration Management Tools,3,,,,Monitoring and Logging,3.5,,,
"AWS: DATABASES, COST & COMPLIANCE",Rating,,,,CAREER ADVANCEMENT ,Rating,,,
Database (SQL and NoSQL),4.5,,,,Self-presentation [Portfolio/Website/LinkedIn],4,,,
Cloud Services Storage Systems,3,,,,Self-presentation [Resume/ Cover Letter/Bio],5,,,
Data Migration,3.5,,,,Networking ,5,,,
Cost Management,3,,,,Interviewing,3,,,
Cloud Security and Compliance,3,,,,Negotiating,3,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
LIST SKILLS YOU SCORED BETWEEN 1 - 3 IN AND WANT/NEED TO DEVELOP FURTHER,,,,,,,,,
Skill,Growth plan,,,,,,,,
(Example) Evidence/Research Analysis,Subscribe to research analysis podcasts,,,,,,,,
Skill 2,,,,,,,,,
Skill 3,,,,,,,,,
Skill 4,,,,,,,,,
Skill 5,,,,,,,,,
Skill 6,,,,,,,,,
Skill 7,,,,,,,,,
Skill 8,,,,,,,,,
Skill 9,,,,,,,,,
Skill 10,,,,,,,,,
Skills 11,,,,,,,,,
