Country or territory of asylum or residence,Country or territory of origin,Year,Refugees*,Refugees assisted by UNHCR,Total refugees and people in refugee-like situations**,Total refugees and people in refugee-like situations assisted by UNHCR,Total Administrative Cost for Host Country
Afghanistan,Iran (Islamic Rep. of),2021,38,38,38,38,760000
Afghanistan,Pakistan,2021,72188,123,72188,123,1443760000
Albania,China,2021,14,0,14,0,280000
Albania,Egypt,2021,5,0,5,0,100000
Albania,Iraq,2021,5,0,5,0,100000
Albania,Serbia and Kosovo: S/RES/1244 (1999),2021,57,0,57,0,1140000
Albania,State of Palestine,2021,5,0,5,0,100000
Albania,Syrian Arab Rep.,2021,11,0,11,0,220000
Albania,Uzbekistan,2021,5,0,5,0,100000
Albania,Venezuela (Bolivarian Republic of),2021,5,0,5,0,100000
Algeria,Cameroon,2021,128,128,128,128,2560000
Algeria,Central African Rep.,2021,92,92,92,92,1840000
Algeria,Chad,2021,5,5,5,5,100000
Algeria,Côte d'Ivoire,2021,77,77,77,77,1540000
Algeria,Dem. Rep. of the Congo,2021,68,68,68,68,1360000
Algeria,Guinea,2021,37,37,37,37,740000
Algeria,Iraq,2021,14,14,14,14,280000
Algeria,Libya,2021,21,21,21,21,420000
Algeria,Mali,2021,160,160,160,160,3200000
Algeria,Niger,2021,8,8,8,8,160000
Algeria,Nigeria,2021,5,5,5,5,100000
Algeria,State of Palestine,2021,186,186,186,186,3720000
Algeria,Sudan,2021,16,16,16,16,320000
Algeria,Syrian Arab Rep.,2021,6750,6750,6750,6750,135000000
Algeria,Western Sahara,2021,90000,90000,90000,90000,1800000000
Algeria,Yemen,2021,243,243,243,243,4860000
Angola,Burundi,2021,18,18,18,18,360000
Angola,Central African Rep.,2021,7,7,7,7,140000
Angola,Chad,2021,189,17,189,17,3780000
Angola,"Congo, Republic of",2021,65,0,65,0,1300000
Angola,Côte d'Ivoire,2021,417,90,417,90,8340000
Angola,Dem. Rep. of the Congo,2021,23048,10602,23048,10602,460960000
Angola,Eritrea,2021,78,18,78,18,1560000
Angola,Guinea,2021,128,125,128,125,2560000
Angola,Guinea-Bissau,2021,7,0,7,0,140000
Angola,Liberia,2021,164,164,164,164,3280000
Angola,Mauritania,2021,323,36,323,36,6460000
Angola,Rwanda,2021,503,503,503,503,10060000
Angola,Sierra Leone,2021,413,413,413,413,8260000
Angola,Somalia,2021,271,17,271,17,5420000
Angola,Sudan,2021,279,10,279,10,5580000
Angola,United Rep. of Tanzania,2021,5,0,5,0,100000
Angola,Western Sahara,2021,16,0,16,0,320000
Argentina,Afghanistan,2021,12,0,12,0,240000
Argentina,Albania,2021,18,0,18,0,360000
Argentina,Algeria,2021,30,0,30,0,600000
Argentina,Angola,2021,14,0,14,0,280000
Argentina,Armenia,2021,77,0,77,0,1540000
Argentina,Bangladesh,2021,5,0,5,0,100000
Argentina,Bolivia (Plurinational State of),2021,63,0,63,0,1260000
Argentina,Bosnia and Herzegovina,2021,6,0,6,0,120000
Argentina,Burundi,2021,5,0,5,0,100000
Argentina,Cameroon,2021,7,0,7,0,140000
Argentina,Chile,2021,34,0,34,0,680000
Argentina,Colombia,2021,562,7,562,7,11240000
Argentina,Costa Rica,2021,5,0,5,0,100000
Argentina,Côte d'Ivoire,2021,20,0,20,0,400000
Argentina,Cuba,2021,262,0,262,0,5240000
Argentina,Dem. Rep. of the Congo,2021,26,0,26,0,520000
Argentina,Dominican Rep.,2021,6,0,6,0,120000
Argentina,Ecuador,2021,16,0,16,0,320000
Argentina,Egypt,2021,5,0,5,0,100000
Argentina,El Salvador,2021,47,0,47,0,940000
Argentina,Ethiopia,2021,5,0,5,0,100000
Argentina,Georgia,2021,5,0,5,0,100000
Argentina,Ghana,2021,38,0,38,0,760000
Argentina,Guatemala,2021,8,0,8,0,160000
Argentina,Guinea,2021,10,0,10,0,200000
Argentina,Guinea-Bissau,2021,8,0,8,0,160000
Argentina,Haiti,2021,76,0,76,0,1520000
Argentina,Honduras,2021,5,0,5,0,100000
Argentina,India,2021,23,0,23,0,460000
Argentina,Iran (Islamic Rep. of),2021,30,0,30,0,600000
Argentina,Iraq,2021,22,0,22,0,440000
Argentina,Jamaica,2021,13,0,13,0,260000
Argentina,Jordan,2021,5,0,5,0,100000
Argentina,Kazakhstan,2021,18,0,18,0,360000
Argentina,Kyrgyzstan,2021,5,0,5,0,100000
Argentina,Liberia,2021,42,0,42,0,840000
Argentina,Libya,2021,5,0,5,0,100000
Argentina,Mali,2021,9,0,9,0,180000
Argentina,Nicaragua,2021,16,0,16,0,320000
Argentina,Nigeria,2021,42,0,42,0,840000
Argentina,North Macedonia,2021,9,0,9,0,180000
Argentina,Pakistan,2021,39,0,39,0,780000
Argentina,Paraguay,2021,18,0,18,0,360000
Argentina,Peru,2021,546,0,546,0,10920000
Argentina,Romania,2021,51,0,51,0,1020000
Argentina,Russian Federation,2021,81,0,81,0,1620000
Argentina,Senegal,2021,43,0,43,0,860000
Argentina,Sierra Leone,2021,37,0,37,0,740000
Argentina,Somalia,2021,5,0,5,0,100000
Argentina,Sri Lanka,2021,36,0,36,0,720000
Argentina,State of Palestine,2021,19,0,19,0,380000
Argentina,Sudan,2021,5,0,5,0,100000
Argentina,Syrian Arab Rep.,2021,409,0,409,0,8180000
Argentina,Turkey,2021,7,0,7,0,140000
Argentina,Ukraine,2021,120,0,120,0,2400000
Argentina,United States of America,2021,5,0,5,0,100000
Argentina,Unknown/other,2021,642,0,642,0,12840000
Argentina,Venezuela (Bolivarian Republic of),2021,311,20,311,20,6220000
Argentina,Yemen,2021,19,0,19,0,380000
Armenia,Afghanistan,2021,5,0,5,0,100000
Armenia,Azerbaijan,2021,1212,1212,38774,27540,24240000
Armenia,"Congo, Republic of",2021,5,5,5,5,100000
Armenia,Côte d'Ivoire,2021,6,0,6,0,120000
Armenia,Egypt,2021,5,5,5,5,100000
Armenia,Georgia,2021,8,0,8,0,160000
Armenia,Iran (Islamic Rep. of),2021,123,94,123,94,2460000
Armenia,Iraq,2021,1092,98,1092,98,21840000
Armenia,Lebanon,2021,26,0,26,0,520000
Armenia,Nigeria,2021,5,5,5,5,100000
Armenia,State of Palestine,2021,7,0,7,0,140000
Armenia,Syrian Arab Rep.,2021,744,152,5205,4613,14880000
Armenia,Turkey,2021,16,5,16,5,320000
Armenia,Ukraine,2021,117,42,117,42,2340000
Armenia,Yemen,2021,21,12,21,12,420000
Australia,Afghanistan,2021,10108,0,10108,0,202160000
Australia,Albania,2021,41,0,41,0,820000
Australia,Algeria,2021,8,0,8,0,160000
Australia,Azerbaijan,2021,9,0,9,0,180000
Australia,Bahrain,2021,68,0,68,0,1360000
Australia,Bangladesh,2021,409,0,409,0,8180000
Australia,Belarus,2021,6,0,6,0,120000
Australia,Bhutan,2021,5,0,5,0,100000
Australia,Brazil,2021,8,0,8,0,160000
Australia,Burundi,2021,48,0,48,0,960000
Australia,Cambodia,2021,68,0,68,0,1360000
Australia,Cameroon,2021,29,0,29,0,580000
Australia,China,2021,1671,0,1671,0,33420000
Australia,"China, Hong Kong SAR",2021,5,0,5,0,100000
Australia,Colombia,2021,96,0,96,0,1920000
Australia,"Congo, Republic of",2021,16,0,16,0,320000
Australia,Dem. People's Rep. of Korea,2021,5,0,5,0,100000
Australia,Dem. Rep. of the Congo,2021,64,0,64,0,1280000
Australia,Djibouti,2021,5,0,5,0,100000
Australia,Egypt,2021,1396,0,1396,0,27920000
Australia,El Salvador,2021,12,0,12,0,240000
Australia,Eritrea,2021,107,0,107,0,2140000
Australia,Ethiopia,2021,314,0,314,0,6280000
Australia,Fiji,2021,312,0,312,0,6240000
Australia,Gambia,2021,8,0,8,0,160000
Australia,Georgia,2021,13,0,13,0,260000
Australia,Germany,2021,10,0,10,0,200000
