"Date","Price","Open","High","Low","Vol.","Change %"
"09/15/2023","1.0663","1.0635","1.0669","1.0633","","0.21%"
"09/14/2023","1.0641","1.0729","1.0753","1.0631","","-0.81%"
"09/13/2023","1.0728","1.0754","1.0766","1.0711","","-0.22%"
"09/12/2023","1.0752","1.0751","1.0769","1.0705","","0.04%"
"09/11/2023","1.0748","1.0716","1.0760","1.0707","","0.46%"
"09/08/2023","1.0699","1.0697","1.0745","1.0694","","0.00%"
"09/07/2023","1.0699","1.0726","1.0733","1.0686","","-0.26%"
"09/06/2023","1.0727","1.0729","1.0749","1.0703","","0.07%"
"09/05/2023","1.0720","1.0797","1.0799","1.0706","","-0.69%"
"09/04/2023","1.0794","1.0777","1.0810","1.0771","","0.19%"
"09/01/2023","1.0773","1.0840","1.0883","1.0771","","-0.63%"
"08/31/2023","1.0841","1.0926","1.0941","1.0834","","-0.76%"
"08/30/2023","1.0924","1.0879","1.0947","1.0855","","0.43%"
"08/29/2023","1.0877","1.0814","1.0892","1.0782","","0.55%"
"08/28/2023","1.0817","1.0801","1.0823","1.0793","","0.16%"
"08/25/2023","1.0800","1.0810","1.0842","1.0766","","-0.08%"
"08/24/2023","1.0809","1.0863","1.0877","1.0805","","-0.46%"
"08/23/2023","1.0859","1.0848","1.0872","1.0802","","0.14%"
"08/22/2023","1.0844","1.0893","1.0932","1.0833","","-0.43%"
"08/21/2023","1.0891","1.0878","1.0914","1.0869","","0.24%"
"08/18/2023","1.0865","1.0872","1.0895","1.0845","","-0.06%"
"08/17/2023","1.0871","1.0876","1.0919","1.0855","","-0.03%"
"08/16/2023","1.0874","1.0907","1.0935","1.0871","","-0.28%"
"08/15/2023","1.0904","1.0906","1.0954","1.0897","","0.00%"
"08/14/2023","1.0904","1.0953","1.0961","1.0874","","-0.37%"
"08/11/2023","1.0944","1.0981","1.1006","1.0942","","-0.32%"
"08/10/2023","1.0979","1.0975","1.1065","1.0967","","0.05%"
"08/09/2023","1.0973","1.0953","1.0996","1.0951","","0.17%"
"08/08/2023","1.0954","1.1001","1.1012","1.0928","","-0.44%"
"08/07/2023","1.1002","1.1018","1.1019","1.0965","","-0.07%"
"08/04/2023","1.1010","1.0946","1.1042","1.0934","","0.60%"
"08/03/2023","1.0944","1.0938","1.0963","1.0912","","0.07%"
"08/02/2023","1.0936","1.0983","1.1020","1.0918","","-0.42%"
"08/01/2023","1.0982","1.0996","1.1004","1.0951","","-0.10%"
"07/31/2023","1.0993","1.1023","1.1047","1.0993","","-0.20%"
