Div,Date,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoal,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP
F1,27/07/2001,Bordeaux,Nantes,2,0,H,2,0,H,2.03,3.05,3.3,2,2.9,3,2.1,3.2,3,2.1,3.2,3,2.1,3.1,3.2,2,3.2,3.2,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,28/07/2001,Bastia,Sedan,1,1,D,0,0,D,1.92,3.05,3.65,1.8,2.9,3.6,1.8,3.25,3.75,1.85,3.2,3.75,1.91,3.2,3.6,1.9,3.2,3.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,28/07/2001,Lens,Lyon,2,0,H,2,0,H,2.55,2.95,2.55,2.4,2.7,2.6,2.5,3.2,2.5,2.6,3,2.5,2.6,2.88,2.6,2.62,2.9,2.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,28/07/2001,Lorient,Metz,1,0,H,0,0,D,2.2,2.95,3.05,2.1,2.9,2.9,2.25,3.2,2.75,2.25,3,2.88,2.25,3,3,2.1,3.2,3,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,28/07/2001,Monaco,Sochaux,0,1,A,0,0,D,1.45,3.65,6.3,1.4,3.6,5.5,1.44,3.6,6.5,1.36,3.75,8,1.4,4,6.5,1.4,3.75,7,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,28/07/2001,Montpellier,Marseille,1,1,D,0,1,A,2.5,2.95,2.6,2.3,2.8,2.6,2.5,3.2,2.5,2.6,3.1,2.4,2.6,3,2.5,2.5,2.9,2.62,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,28/07/2001,Paris SG,Lille,0,0,D,0,0,D,1.65,3.3,4.65,1.6,3.2,4.2,1.61,3.25,5,1.53,3.4,5.5,1.67,3.4,4.5,1.66,3.3,4.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,28/07/2001,Rennes,Auxerre,0,5,A,0,1,A,1.85,3.1,3.85,1.85,2.9,3.4,1.91,3.2,3.5,1.85,3.2,3.75,1.8,3.25,4,1.72,3.2,4.33,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,28/07/2001,Troyes,Guingamp,3,0,H,1,0,H,1.89,3.1,3.7,1.8,2.9,3.6,1.8,3.2,4,1.85,3.2,3.75,1.91,3.2,3.6,1.8,3.3,3.75,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,03/08/2001,Marseille,Bordeaux,0,0,D,0,0,D,1.95,3.3,3.4,2.2,2.8,2.8,2.5,3.2,2.5,2.2,3.1,2.88,2.25,3,3,2.1,3.2,3,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,04/08/2001,Auxerre,Paris SG,1,1,D,0,1,A,1.95,3.3,3.4,2.2,2.8,2.8,2.37,3.2,2.6,2.38,3.1,2.62,2.38,3,2.75,2.37,3.1,2.62,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,04/08/2001,Guingamp,Bastia,1,0,H,0,0,D,1.95,3.3,3.4,2,2.9,3,1.8,3.25,3.75,1.91,3.2,3.5,1.91,3.1,3.75,1.9,3.2,3.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,04/08/2001,Lille,Lorient,3,1,H,0,0,D,1.95,3.3,3.4,1.55,3.3,4.5,1.57,3.25,5.5,1.57,3.4,5.2,1.57,3.4,5.5,1.61,3.5,4.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,04/08/2001,Lyon,Sedan,2,0,H,1,0,H,1.95,3.3,3.4,1.55,3.3,4.5,1.5,3.4,6,1.53,3.4,5.5,1.57,3.4,5.5,1.5,3.6,5.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,04/08/2001,Metz,Troyes,2,1,H,2,1,H,1.95,3.3,3.4,1.9,2.8,3.3,2,3,3.4,2.1,3.1,3.1,2,3.1,3.4,1.83,3.2,3.75,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,04/08/2001,Monaco,Montpellier,0,0,D,0,0,D,1.95,3.3,3.4,1.5,3.2,5,1.44,3.6,6.5,1.44,3.6,6.5,1.44,3.75,6.5,1.44,3.6,6.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,04/08/2001,Nantes,Lens,1,2,A,0,1,A,1.95,3.3,3.4,1.7,3.1,3.8,1.57,3.25,5.5,1.57,3.4,5.2,1.62,3.4,5,1.57,3.5,5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,04/08/2001,Sochaux,Rennes,4,3,H,3,2,H,1.95,3.3,3.4,2,2.9,3,2.25,3.2,2.75,2.1,3.1,3.1,2.1,3.1,3.2,2.2,3.1,2.87,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,11/08/2001,Bordeaux,Lille,0,0,D,0,0,D,1.95,3.3,3.4,1.65,3.1,4,1.67,3.25,4.5,1.95,3.25,3.4,1.67,3.2,5,1.72,3.25,4.2,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,11/08/2001,Lens,Marseille,2,0,H,0,0,D,1.95,3.3,3.4,1.9,2.7,3.4,1.8,3.25,3.75,1.95,3.25,3.4,1.91,3.2,3.6,1.9,3.2,3.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,11/08/2001,Montpellier,Metz,3,0,H,1,0,H,1.95,3.3,3.4,2,2.7,3.2,2.2,3,3,1.95,3.25,3.4,2.1,3,3.25,2.1,3.1,3.1,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,11/08/2001,Paris SG,Sochaux,1,0,H,0,0,D,1.95,3.3,3.4,1.45,3.5,5,2,3.25,3.2,1.95,3.25,3.4,1.44,3.75,6.5,1.53,3.5,5.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,11/08/2001,Rennes,Monaco,3,0,H,2,0,H,1.95,3.3,3.4,2.3,2.8,2.6,2.5,2.87,2.62,1.95,3.25,3.4,2.3,3.1,2.8,2.37,3,2.7,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,11/08/2001,Sedan,Guingamp,1,1,D,1,0,H,1.95,3.3,3.4,1.7,3.1,3.8,1.8,3.2,4,1.95,3.25,3.4,1.8,3.2,4,1.8,3.25,3.8,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,11/08/2001,Troyes,Nantes,0,0,D,0,0,D,1.95,3.3,3.4,2.2,2.8,2.8,2.5,2.87,2.62,1.95,3.25,3.4,2.5,3,2.6,2.4,3.1,2.6,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,12/08/2001,Bastia,Lyon,1,2,A,0,1,A,1.95,3.3,3.4,2.5,2.7,2.5,2.5,3.25,2.4,1.95,3.25,3.4,2.6,3,2.5,2.4,3.1,2.6,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,12/08/2001,Lorient,Auxerre,0,1,A,0,1,A,1.95,3.3,3.4,2.4,2.8,2.5,2.5,3.2,2.5,1.95,3.25,3.4,2.38,3,2.75,2.37,3,2.7,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,18/08/2001,Lille,Montpellier,2,1,H,0,0,D,1.95,3.3,3.4,1.6,3.2,4.2,1.67,3.2,5,1.95,3.25,3.4,1.57,3.5,5,1.57,3.5,5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,18/08/2001,Lyon,Guingamp,3,0,H,1,0,H,1.95,3.3,3.4,1.45,3.5,5,1.5,3.4,6,1.95,3.25,3.4,1.44,3.6,6.5,1.44,3.6,6.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,18/08/2001,Marseille,Troyes,0,1,A,0,0,D,1.95,3.3,3.4,1.7,3.1,3.8,1.8,3.2,4,1.95,3.25,3.4,1.67,3.25,4.5,1.66,3.3,4.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,18/08/2001,Metz,Lens,0,1,A,0,1,A,1.95,3.3,3.4,2.5,2.7,2.5,2.5,3.2,2.5,1.95,3.25,3.4,2.25,3,2.88,2.37,3.1,2.62,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,18/08/2001,Monaco,Paris SG,2,2,D,2,1,H,1.95,3.3,3.4,2.3,2.8,2.6,2.37,3.2,2.6,1.95,3.25,3.4,2.2,3,3,2.3,3.1,2.75,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,18/08/2001,Nantes,Bastia,1,2,A,1,2,A,1.95,3.3,3.4,1.6,3.2,4.2,1.5,3.4,6,1.95,3.25,3.4,1.53,3.4,5.5,1.53,3.4,5.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,18/08/2001,Rennes,Bordeaux,1,0,H,0,0,D,1.95,3.3,3.4,2.4,2.7,2.6,2.4,3.25,2.5,1.95,3.25,3.4,2.38,3,2.7,2.37,3.1,2.62,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,18/08/2001,Sochaux,Lorient,2,2,D,2,0,H,1.95,3.3,3.4,1.7,3.1,3.8,1.8,3.2,4,1.95,3.25,3.4,1.8,3.25,3.75,1.66,3.3,4.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,19/08/2001,Auxerre,Sedan,2,1,H,1,0,H,1.95,3.3,3.4,1.7,3.1,3.8,2,3.25,3.2,1.95,3.25,3.4,1.73,3.2,4.33,1.61,3.3,5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,25/08/2001,Bastia,Marseille,1,0,H,1,0,H,1.95,3.3,3.4,2.1,2.8,3,2.1,3.2,3,1.95,3.25,3.4,2.1,3.1,3.1,2.25,3,2.87,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,25/08/2001,Bordeaux,Auxerre,1,1,D,1,0,H,1.95,3.3,3.4,1.7,3.1,3.8,1.8,3.2,4,1.95,3.25,3.4,1.8,3.25,3.75,1.8,3.1,4,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,25/08/2001,Guingamp,Nantes,1,0,H,1,0,H,1.95,3.3,3.4,2.2,2.9,2.7,2.5,3.2,2.5,1.95,3.25,3.4,2.3,3.1,2.75,2.4,3.1,2.6,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,25/08/2001,Lorient,Monaco,2,0,H,2,0,H,1.95,3.3,3.4,2.4,2.8,2.5,2.5,3.2,2.5,1.95,3.25,3.4,2.4,3,2.7,2.4,3.1,2.6,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,25/08/2001,Montpellier,Sochaux,0,0,D,0,0,D,1.95,3.3,3.4,1.85,2.8,3.5,1.91,3.2,3.5,1.95,3.25,3.4,2.1,3,3.2,2,3.1,3.3,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,25/08/2001,Paris SG,Rennes,3,0,H,0,0,D,1.95,3.3,3.4,1.55,3.3,4.5,1.5,3.4,6,1.95,3.25,3.4,1.62,3.25,5,1.66,3.3,4.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,25/08/2001,Sedan,Metz,2,0,H,0,0,D,1.95,3.3,3.4,1.75,3.1,3.6,1.91,3.2,3.5,1.95,3.25,3.4,1.8,3.25,3.75,1.72,3.25,4.2,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,25/08/2001,Troyes,Lyon,0,2,A,0,1,A,1.95,3.3,3.4,2.5,2.7,2.5,2.8,3.2,2.2,1.95,3.25,3.4,2.62,2.88,2.5,2.5,3.1,2.5,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
F1,26/08/2001,Lens,Lille,1,1,D,0,0,D,1.95,3.3,3.4,2,2.7,3.2,1.91,3.2,3.5,1.95,3.25,3.4,2,3.1,3.3,2.1,3,3.2,7219,C Brook,12,9,6,4,0,0,6,5,13,14,3,3,1,2,0,0,10,20
